2020-04-23 11:06:44 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-04-23 11:06:44 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2020-04-23 11:06:44 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2020-04-23 11:06:44 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2020-04-23 11:06:44 install libpcre2-8-0:amd64 <none> 10.34-7
2020-04-23 11:06:44 status half-installed libpcre2-8-0:amd64 10.34-7
2020-04-23 11:06:44 status unpacked libpcre2-8-0:amd64 10.34-7
2020-04-23 11:06:44 install libpcre3:amd64 <none> 2:8.39-12build1
2020-04-23 11:06:44 status half-installed libpcre3:amd64 2:8.39-12build1
2020-04-23 11:06:44 status unpacked libpcre3:amd64 2:8.39-12build1
2020-04-23 11:06:44 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2020-04-23 11:06:44 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2020-04-23 11:06:44 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2020-04-23 11:06:44 install libselinux1:amd64 <none> 3.0-1build2
2020-04-23 11:06:44 status half-installed libselinux1:amd64 3.0-1build2
2020-04-23 11:06:44 status unpacked libselinux1:amd64 3.0-1build2
2020-04-23 11:06:44 install libsemanage-common:all <none> 3.0-1build2
2020-04-23 11:06:44 status half-installed libsemanage-common:all 3.0-1build2
2020-04-23 11:06:44 status unpacked libsemanage-common:all 3.0-1build2
2020-04-23 11:06:44 install libsemanage1:amd64 <none> 3.0-1build2
2020-04-23 11:06:44 status half-installed libsemanage1:amd64 3.0-1build2
2020-04-23 11:06:44 status unpacked libsemanage1:amd64 3.0-1build2
2020-04-23 11:06:44 install libsepol1:amd64 <none> 3.0-1
2020-04-23 11:06:44 status half-installed libsepol1:amd64 3.0-1
2020-04-23 11:06:44 status unpacked libsepol1:amd64 3.0-1
2020-04-23 11:06:44 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2020-04-23 11:06:44 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:44 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:44 install libss2:amd64 <none> 1.45.5-2ubuntu1
2020-04-23 11:06:44 status half-installed libss2:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:44 status unpacked libss2:amd64 1.45.5-2ubuntu1
2020-04-23 11:06:44 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2020-04-23 11:06:44 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2020-04-23 11:06:44 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2020-04-23 11:06:44 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2020-04-23 11:06:44 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2020-04-23 11:06:44 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2020-04-23 11:06:44 install libudev1:amd64 <none> 245.4-4ubuntu3
2020-04-23 11:06:44 status half-installed libudev1:amd64 245.4-4ubuntu3
2020-04-23 11:06:44 status unpacked libudev1:amd64 245.4-4ubuntu3
2020-04-23 11:06:44 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2020-04-23 11:06:44 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:44 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2020-04-23 11:06:44 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2020-04-23 11:06:44 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2020-04-23 11:06:44 status unpacked libzstd1:amd64 1.4.4+dfsg-3
